snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2022-08-22,2022-08-19,258610,케일럼,exact_source_row,,KOSDAQ,2022-08-19,3,4270,4270,4335,4100,4100,99509,419579065,90801724200,22146762,0,1.522248,-3.981265,-3.981265,0.449316,-0.726392,-5.202312,-4.428904,1.99005,1476,1086,1644,411,2037,5550,false,false,false,false,verified_normal_day,0,0,1,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,258790,소프트캠프,exact_source_row,,KOSDAQ,2022-08-19,3,2070,2045,2125,1985,1990,738755,1517138205,49732655160,24991284,-1.207729,2.657005,-4.10628,-3.864734,2.956051,-6.352941,11.797753,10.555556,5.570292,795,209,2117,257,2002,2690,false,false,false,false,verified_normal_day,0,0,2,1,false,false,clean,2022-08-22
2022-08-22,2022-08-19,258830,세종메디칼,exact_source_row,,KOSDAQ,2022-08-19,3,4935,4895,5080,4785,4820,2635339,13035387170,196012264900,40666445,-0.810537,2.938197,-3.039514,-2.330294,6.480377,-7.839388,-10.90573,-22.75641,-25.15528,180,93,954,229,1303,6410,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,259630,엠플러스,exact_source_row,,KOSDAQ,2022-08-19,3,16750,16700,16750,15900,15900,111750,1807013150,194158572900,12211231,-0.298507,0,-5.074627,-5.074627,0.915141,-5.91716,-7.017544,-4.504505,1.273885,723,596,960,1292,2285,21750,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,259960,크래프톤,exact_source_row,,KOSPI,2022-08-19,3,255000,253500,257000,248000,252500,91113,23017407000,12390691362500,49072045,-0.588235,0.784314,-2.745098,-0.980392,0.185672,-4.896422,-5.075188,-1.941748,-2.131783,106,1791,27,645,649,331500,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,260660,알리코제약,exact_source_row,,KOSDAQ,2022-08-19,3,6510,6490,6600,6380,6470,20953,135980440,99165825870,15327021,-0.30722,1.382488,-1.996928,-0.614439,0.136706,-3.863299,-4.005935,-4.005935,2.861685,2035,1964,1538,447,509,8460,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,260930,씨티케이,exact_source_row,,KOSDAQ,2022-08-19,3,7900,7900,7900,7700,7800,19585,153188470,150864409800,19341591,0,0,-2.531646,-1.265823,0.101258,1.960784,1.298701,-0.255754,11.747851,1984,2119,1150,1293,781,10250,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,260970,에스앤디,exact_source_row,,KOSDAQ,2022-08-19,3,19150,18800,19400,18750,19000,19158,366034250,77128980000,4059420,-1.827676,1.305483,-2.088773,-0.78329,0.471939,-1.298701,-5,-0.78329,0.529101,1550,1051,1808,465,570,24850,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,261200,덴티스,exact_source_row,,KOSDAQ,2022-08-19,3,9040,9040,9080,8800,8890,72146,644908690,131197642100,14757890,0,0.442478,-2.654867,-1.659292,0.488864,-5.626327,-9.654472,-4.613734,0.908059,1227,1033,1290,811,954,11750,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,261780,차백신연구소,exact_source_row,,KOSDAQ,2022-08-19,3,7000,6850,6950,6740,6760,218593,1492237290,178661135120,26429162,-2.142857,-0.714286,-3.714286,-3.428571,0.82709,-4.788732,-8.648649,-12.093628,-15.605493,804,649,1018,1957,1825,9100,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,262260,에이프로,exact_source_row,,KOSDAQ,2022-08-19,3,12100,11900,12000,11700,11750,31073,367901300,169199941250,14399995,-1.652893,-0.826446,-3.305785,-2.892562,0.215785,-9.266409,-10.305344,-11.320755,-0.423729,1544,1697,1052,2032,1575,15700,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,262840,아이퀘스트,exact_source_row,,KOSDAQ,2022-08-19,3,9550,9550,9550,8970,8970,92570,850899170,88444200000,9860000,0,0,-6.073298,-6.073298,0.938844,-6.269592,-4.064171,-7.046632,-1.859956,1063,579,1673,1294,2362,12400,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263020,디케이앤디,exact_source_row,,KOSDAQ,2022-08-19,3,3525,3520,3635,3430,3615,133662,473850185,56127950460,15526404,-0.141844,3.120567,-2.695035,2.553191,0.860869,8.558559,14.761905,14.398734,19.701987,1407,624,2041,215,76,4580,false,false,false,false,verified_normal_day,0,0,3,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263050,유틸렉스,exact_source_row,,KOSDAQ,2022-08-19,3,7620,7560,8380,7360,7620,5259676,41279199300,277355510820,36398361,-0.787402,9.973753,-3.412073,0,14.45031,29.591837,42.164179,31.83391,53.784057,66,46,718,43,311,9900,false,false,false,false,verified_normal_day,0,0,2,1,false,false,clean,2022-08-22
