code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
000160,대한중석,1995-05-02,1999-10-26,1257,1278,KOSPI,5,5,55,546964000,inactive_or_delisted_like,atlas/symbol_profiles/000/000160.json
000161,대한중석(1신),1995-05-08,1997-12-27,541,588,KOSPI,3,3,3300,930864000,inactive_or_delisted_like,atlas/symbol_profiles/000/000161.json
000162,대한중석(2신),1995-06-13,1995-12-27,162,165,KOSPI,1,1,23300,86314267500,inactive_or_delisted_like,atlas/symbol_profiles/000/000162.json
000165,메리츠제2호스팩,2026-06-19,2026-06-22,2,2,KOSDAQ,1,1,1954,14146960000,active_like,atlas/symbol_profiles/000/000165.json
000170,LG금속,1995-05-02,1999-03-18,1123,1137,KOSPI,5,5,5150,61800000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000170.json
000180,성창기업지주,1995-05-02,2026-06-22,7816,7846,KOSPI,32,32,5060,70588619200,active_like,atlas/symbol_profiles/000/000180.json
000200,대우중공업,1995-05-02,2001-05-22,1578,1659,KOSPI,7,7,5,1346931760,inactive_or_delisted_like,atlas/symbol_profiles/000/000200.json
000205,대우중공업(1우),1995-05-02,2001-05-22,1575,1659,KOSPI,7,7,35,223934410,inactive_or_delisted_like,atlas/symbol_profiles/000/000205.json
000210,DL,1995-05-02,2026-06-22,7829,7846,KOSPI,32,32,48650,1019503756600,active_like,atlas/symbol_profiles/000/000210.json
000211,대림산업(1신),1995-08-09,1995-12-27,116,117,KOSPI,1,1,13000,104841802000,inactive_or_delisted_like,atlas/symbol_profiles/000/000211.json
000215,DL우,1995-05-02,2026-06-22,7814,7846,KOSPI,32,32,21950,37010224250,active_like,atlas/symbol_profiles/000/000215.json
000220,유유제약,1995-05-02,2026-06-22,7841,7846,KOSPI,32,32,3855,65659713105,active_like,atlas/symbol_profiles/000/000220.json
000225,유유제약1우,1995-05-02,2026-06-22,7611,7846,KOSPI,32,32,3595,8149613350,active_like,atlas/symbol_profiles/000/000225.json
000227,유유제약2우B,2000-06-20,2026-06-22,6123,6411,KOSPI,27,27,10440,3398846400,active_like,atlas/symbol_profiles/000/000227.json
000230,일동홀딩스,1995-05-02,2026-06-22,7809,7846,KOSPI,32,32,6590,76051236000,active_like,atlas/symbol_profiles/000/000230.json
000231,일동제약(1신),1996-09-11,1997-03-28,157,157,KOSPI,2,2,52500,41049855000,inactive_or_delisted_like,atlas/symbol_profiles/000/000231.json
000240,한국앤컴퍼니,1995-05-02,2026-06-22,7819,7846,KOSPI,32,32,24300,2306926332000,active_like,atlas/symbol_profiles/000/000240.json
000241,한국타이어(1신),1996-02-12,1996-12-24,223,260,KOSPI,1,1,33000,29333337000,inactive_or_delisted_like,atlas/symbol_profiles/000/000241.json
000242,한국타이어(2신),1996-04-08,1996-12-24,174,216,KOSPI,1,1,32800,9002517600,inactive_or_delisted_like,atlas/symbol_profiles/000/000242.json
000250,삼천당제약,2000-10-04,2026-06-22,6339,6341,KOSDAQ,27,27,241500,5664979488000,active_like,atlas/symbol_profiles/000/000250.json
000270,기아,1995-05-02,2026-06-22,7824,7846,KOSPI,32,32,151400,59108527897200,active_like,atlas/symbol_profiles/000/000270.json
000279,아모레퍼시픽홀딩스3우C,2019-12-26,2026-06-22,1590,1590,KOSPI,8,8,19520,138439744000,active_like,atlas/symbol_profiles/000/000279.json
000280,동아건설,1995-05-02,2001-06-05,1580,1669,KOSPI,7,7,30,1254401910,inactive_or_delisted_like,atlas/symbol_profiles/000/000280.json
000281,동아건설(1신),1996-10-04,1996-12-23,7,226,KOSPI,1,1,22800,41021919600,inactive_or_delisted_like,atlas/symbol_profiles/000/000281.json
000282,동아건설(2신),1996-09-09,1996-12-27,89,89,KOSPI,1,1,17200,61700528000,inactive_or_delisted_like,atlas/symbol_profiles/000/000282.json
000300,DH오토넥스,1995-05-02,2024-02-23,7127,7846,KOSPI,30,32,241,30475633069,active_like,atlas/symbol_profiles/000/000300.json
000301,두레에어(1신),1996-12-16,1998-03-28,186,207,KOSPI,3,3,4940,7181594160,inactive_or_delisted_like,atlas/symbol_profiles/000/000301.json
000305,삼선공업(1우),1995-05-02,1997-10-22,582,727,KOSPI,3,3,11100,16136780400,inactive_or_delisted_like,atlas/symbol_profiles/000/000305.json
000306,삼선공업(1우1신),1996-12-14,1997-03-27,50,82,KOSPI,2,2,7600,3806080000,inactive_or_delisted_like,atlas/symbol_profiles/000/000306.json
000310,해태제과,1995-05-02,2001-11-09,1729,1776,KOSPI,7,7,10,1626199920,inactive_or_delisted_like,atlas/symbol_profiles/000/000310.json
000311,해태제과(1신),1995-06-21,1995-06-26,3,47,KOSPI,1,1,12500,1854137500,inactive_or_delisted_like,atlas/symbol_profiles/000/000311.json
000315,해태제과(1우),1995-05-02,2001-11-09,1610,1776,KOSPI,7,7,295,30946975,inactive_or_delisted_like,atlas/symbol_profiles/000/000315.json
000317,해태제과(2우B),2001-01-15,2001-11-09,173,448,KOSPI,1,2,20,139388000,inactive_or_delisted_like,atlas/symbol_profiles/000/000317.json
000320,노루홀딩스,1995-05-02,2026-06-22,7803,7846,KOSPI,32,32,16850,223955894350,active_like,atlas/symbol_profiles/000/000320.json
000321,대한페인트(1신),1995-07-06,1995-12-26,106,145,KOSPI,1,1,32000,15854240000,inactive_or_delisted_like,atlas/symbol_profiles/000/000321.json
000325,노루홀딩스우,1995-05-02,2026-06-22,6967,7846,KOSPI,32,32,27000,6576093000,active_like,atlas/symbol_profiles/000/000325.json
000327,노루홀딩스2우B,2007-09-28,2017-08-29,2408,2481,KOSPI,11,11,19600,1813784000,inactive_or_delisted_like,atlas/symbol_profiles/000/000327.json
000330,두산백화,1995-05-02,1998-08-28,971,1009,KOSPI,4,4,5500,16500000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000330.json
000331,두산백화(1신),1996-06-18,1996-12-27,151,158,KOSPI,1,1,8700,8700000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000331.json
000341,쌍용양회5우B,2000-05-29,2014-01-10,0,6633,KOSPI,0,15,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000341.json
000360,삼환기업,1995-05-02,2015-04-14,5032,5102,KOSPI,21,21,1100,9754838500,inactive_or_delisted_like,atlas/symbol_profiles/000/000360.json
000365,삼환기업우,1995-05-02,2015-04-14,4905,5102,KOSPI,21,21,1040,1130931360,inactive_or_delisted_like,atlas/symbol_profiles/000/000365.json
000370,한화손해보험,1995-05-02,2026-06-22,7825,7846,KOSPI,32,32,6260,730785607900,active_like,atlas/symbol_profiles/000/000370.json
000380,대아건설,1996-07-03,2004-09-16,1502,2156,KOSDAQ,9,9,2800,31640000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000380.json
000390,SP삼화,1995-05-02,2026-06-22,7837,7846,KOSPI,32,32,6330,172197958770,active_like,atlas/symbol_profiles/000/000390.json
000400,롯데손해보험,1995-05-02,2026-06-22,7798,7846,KOSPI,32,32,1780,552398649600,active_like,atlas/symbol_profiles/000/000400.json
000420,로케트전기,1995-05-02,2015-02-23,4816,5066,KOSPI,21,21,14,827669878,inactive_or_delisted_like,atlas/symbol_profiles/000/000420.json
000425,로케트전우,1995-05-02,2015-02-23,4738,5066,KOSPI,21,21,32,34040640,inactive_or_delisted_like,atlas/symbol_profiles/000/000425.json
000430,대원강업,1995-05-02,2026-06-22,7839,7846,KOSPI,32,32,4295,266290000000,active_like,atlas/symbol_profiles/000/000430.json
000431,대원강업(1신),1995-12-13,1995-12-27,12,12,KOSPI,1,1,16000,12800000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000431.json
000440,중앙에너비스,1996-07-03,2026-06-22,6807,7503,KOSDAQ,31,31,14370,89483858100,active_like,atlas/symbol_profiles/000/000440.json
000450,한주통산,1995-05-02,1998-11-17,1022,1043,KOSPI,4,4,20,203127660,inactive_or_delisted_like,atlas/symbol_profiles/000/000450.json
000451,한주통산(1신),1995-09-07,1995-12-27,92,92,KOSPI,1,1,6900,11939760000,inactive_or_delisted_like,atlas/symbol_profiles/000/000451.json
000470,그린손해보험,1995-05-02,2012-07-13,4232,4425,KOSPI,18,18,103,2738634658,inactive_or_delisted_like,atlas/symbol_profiles/000/000470.json
000475,국제화재(1우),1995-05-02,2002-01-15,1743,1837,KOSPI,8,8,900,336461400,inactive_or_delisted_like,atlas/symbol_profiles/000/000475.json
000480,CR홀딩스,1995-05-02,2026-06-22,7805,7846,KOSPI,32,32,4695,220150850550,active_like,atlas/symbol_profiles/000/000480.json
000481,조선내화(1신),1996-08-08,1996-12-26,111,116,KOSPI,1,1,25700,15420000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000481.json
000490,대동,1995-05-02,2026-06-22,7828,7846,KOSPI,32,32,7660,220813785900,active_like,atlas/symbol_profiles/000/000490.json
000499,롯데지주우,2017-10-30,2026-06-22,2120,2120,KOSPI,10,10,24700,19898394100,active_like,atlas/symbol_profiles/000/000499.json
000500,가온전선,1995-05-02,2026-06-22,7843,7846,KOSPI,32,32,338500,5599844427500,active_like,atlas/symbol_profiles/000/000500.json
000501,희성전선(1신),1996-11-30,1996-12-27,23,23,KOSPI,1,1,12800,16640000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000501.json
000510,태    화,1995-05-02,1999-05-24,1154,1169,KOSPI,5,5,40,124366680,inactive_or_delisted_like,atlas/symbol_profiles/000/000510.json
000520,삼일제약,1995-05-02,2026-06-22,7837,7846,KOSPI,32,32,6790,147287396690,active_like,atlas/symbol_profiles/000/000520.json
000530,대한제지,1996-07-05,1997-07-05,29,300,KOSDAQ,2,2,13900,16680000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000530.json
000540,흥국화재,1995-05-02,2026-06-22,7823,7846,KOSPI,32,32,3330,213928007850,active_like,atlas/symbol_profiles/000/000540.json
000545,흥국화재우,1995-05-02,2026-06-22,7713,7846,KOSPI,32,32,5440,4177920000,active_like,atlas/symbol_profiles/000/000545.json
000547,흥국화재2우B,1999-08-09,2023-07-14,5239,5911,KOSPI,25,25,3180,488448000,inactive_or_delisted_like,atlas/symbol_profiles/000/000547.json
