code,name,first_date,last_date
000700,유수홀딩스,2014-12-24,2026-02-20
000700,한진해운,1995-05-02,2009-12-28
000700,한진해운홀딩스,2009-12-29,2014-12-23
000720,현대건설,1995-05-02,2026-02-20
000721,현대건설(1신),1995-10-14,1996-12-27
000725,현대건설(1우 ),2001-06-28,2001-07-04
000725,현대건설(1우),1995-05-02,2006-12-19
000725,현대건설(1우B),2006-12-20,2008-08-01
000725,현대건설우,2008-08-04,2026-02-20
000726,현대건설(1우1신),1996-06-22,1996-12-27
000726,현대건설(우선1신),1996-03-30,1996-06-21
000730,서울교통,1995-05-02,1995-05-24
000736,하나은행(4우B),2000-05-29,2000-12-13
000736,하나은행(5우B),2000-05-29,2000-12-13
000736,하나은행(6우B),2000-05-29,2000-07-31
000736,하나은행(7우B),2000-05-29,2000-12-13
000736,하나은행(8우B),2000-05-29,2000-12-13
000760,이화산업,1995-05-02,2026-02-20
000781,코리아써키트2우B,2013-06-17,2026-02-20
000790,C&상선,2006-08-18,2009-05-12
000790,세양선박,1995-05-02,2006-08-17
000791,세양선박(1신),1996-09-06,1996-12-27
000794,세양선박(1전1신),1996-12-21,1996-12-27
000794,세양선박(전환1신),1995-12-21,1995-12-27
000800,경남기업,1995-05-02,2015-04-14
000801,경남기업(1신),1995-05-02,1996-12-27
000805,경남기업(1우B),2000-02-23,2006-04-27
000806,대덕1우,2020-05-21,2026-02-20
000806,대덕전자1우,2018-12-19,2020-05-20
000810,삼성화재,1995-05-02,2026-02-20
000815,삼성화재(1우 ),2001-06-28,2001-07-04
000815,삼성화재(1우),1995-05-02,2006-12-19
000815,삼성화재(1우B),2006-12-20,2008-08-01
000815,삼성화재우,2008-08-04,2026-02-20
000830,삼성물산,1995-05-02,2015-09-14
000831,삼성물산(1신),1995-05-02,1996-12-27
000835,삼성물산(1우 ),2001-06-28,2001-07-04
000835,삼성물산(1우),1995-05-02,2006-12-19
000835,삼성물산(1우B),2006-12-20,2008-08-01
000835,삼성물산우,2008-08-04,2015-09-14
000840,한국벨트,1995-05-02,2000-06-29
000850,화천기공,1999-11-18,2026-02-20
000860,강남제비스코,2016-01-13,2026-02-20
000860,건설화학,1995-05-02,2016-01-12
000870,전진산업,1996-07-01,1999-01-14
000880,한    화,1996-11-25,2000-04-18
000880,한화,1995-05-02,2026-02-20
000881,한    화(1신),1996-11-25,1996-12-27
000881,한화(1신),1995-07-12,1996-11-22
000885,한    화(1우),1996-11-25,2000-04-18
000885,한화(1우 ),2001-06-28,2001-07-04
000885,한화(1우),1995-05-02,2006-12-19
000885,한화(1우B),2006-12-20,2008-08-01
000885,한화우,2008-08-04,2025-07-14
000887,한    화(2우B),1999-02-01,2000-04-18
000887,한화(2우B),2000-04-19,2004-03-22
000890,보해양조,1995-05-02,2026-02-20
000895,보해양조(1우 ),2001-06-28,2001-07-04
000895,보해양조(1우),1995-05-02,2006-12-19
000895,보해양조(1우B),2006-12-20,2008-08-01
000895,보해양조우,2008-08-04,2015-07-14
000900,강원산업,1995-05-02,2000-04-11
000901,강원산업(1신),1996-02-22,1996-06-27
000905,강원산업(1우),1995-05-02,2000-04-11
000910,유 니 온,1996-11-25,2000-04-18
000910,유니온,1996-07-03,2026-02-20
000911,유 니 온(1신),1996-12-02,1996-12-27
000912,유 니 온(2신),1996-12-02,1996-12-27
000930,한화기계,1995-05-02,1998-12-28
000931,한화기계(1신),1995-12-22,1996-12-27
000950,전    방,1996-11-25,2000-04-18
000950,전방,1995-05-02,2026-02-20
000970,한국주철관,1995-05-02,2026-02-20
000980,극동건설,1995-05-02,2003-10-14
000981,극동건설(1신),1995-07-11,1995-12-27
000985,극동건설(1우 ),2001-06-28,2001-07-04
000985,극동건설(1우),1995-05-02,2003-10-14
000990,DB하이텍,2017-11-20,2026-02-20
000990,동부하이텍,2007-05-21,2017-11-17
000990,동부한농,1997-04-01,2007-05-18
000990,한    농,1996-11-25,1997-03-31
000990,한농,1995-05-02,1996-11-22
000995,DB하이텍1우,2017-11-20,2023-07-14
000995,동부하이텍(1우),2007-05-21,2007-09-10
000995,동부하이텍(1우B),2007-09-11,2008-08-01
000995,동부하이텍1우,2008-08-04,2017-11-17
000997,동부하이텍(2우B),2007-05-21,2008-08-01
000997,동부하이텍2우B,2008-08-04,2015-07-14
001000,신라섬유,1996-07-01,2026-02-20
001020,세    풍,1996-11-25,2000-04-18
001020,세풍,1995-05-02,2003-04-28
001020,페이퍼코리아,2003-04-29,2026-02-20
001030,리젠트화재,2000-08-08,2002-08-09
001030,해동화재,1995-05-02,2000-08-07
001035,리젠트화재(1우B),2000-08-08,2002-08-09
001035,해동화재(1우B),1999-05-27,2000-08-07
001040,CJ,2002-11-04,2026-02-20
001040,제일제당,1995-05-02,2002-11-01
001045,CJ(1우),2002-11-04,2006-12-19
001045,CJ(1우B),2006-12-20,2008-08-01
001045,CJ우,2008-08-04,2026-02-20
001045,제일제당(1우 ),2001-06-28,2001-07-04
001045,제일제당(1우),1995-05-02,2002-11-01
001047,CJ(2우B),2002-11-04,2008-08-01
001047,CJ2우B,2008-08-04,2009-03-19
001047,제일제당(2우B),1999-01-29,2002-11-01
001049,CJ(3우B),2002-11-04,2008-08-01
001049,CJ3우B,2008-08-04,2010-01-12
001049,제일제당(3우B),2000-01-28,2002-11-01
001060,JW중외제약,2011-04-21,2026-02-20
001060,중외제약,1995-05-02,2011-04-20
001061,중외제약(1신),1995-06-08,1995-12-27
001065,JW중외제약우,2011-04-21,2026-02-20
001065,중외제약(1우 ),2001-06-28,2001-07-04
001065,중외제약(1우),1995-05-02,2006-12-19
001065,중외제약(1우B),2006-12-20,2008-08-01
001065,중외제약우,2008-08-04,2011-04-20
001067,JW중외제약2우B,2011-04-21,2026-02-20
001067,중외제약(2우B),1998-04-13,2008-08-01
001067,중외제약2우B,2008-08-04,2011-04-20
001070,대한방직,1995-05-02,2026-02-20
001080,만호제강,1995-05-02,2026-02-20
001090,동서증권,1995-05-02,1998-10-16
001095,동서증권(1우),1995-05-02,1998-10-16
001110,대    농,1996-11-25,2000-04-18
001110,대농,1995-05-02,2002-04-26
001111,대농(1신),1995-11-24,1995-12-27
001120,LG상사,1997-05-20,2021-07-08
001120,LX인터내셔널,2021-07-09,2026-02-20
001120,엘지상사,1995-05-02,1997-05-19
001121,엘지상사(1신),1995-11-03,1995-12-27
001130,대한제분,1995-05-02,2026-02-20
001140,국    보,1996-11-25,2000-04-18
001140,국보,1995-05-02,2026-01-26
001140,카리스국보,2019-08-06,2020-02-14
001150,서    통,1996-11-25,2000-04-18
001150,서통,1995-05-02,2003-10-01
001155,서    통(1우),1996-11-25,2000-04-18
001155,서통(1우 ),2001-06-28,2001-07-04
001155,서통(1우),1995-05-02,2003-10-01
001160,신원제이엠씨,1997-04-29,1999-08-26
001160,제일물산,1995-05-02,1997-04-28
001170,장은증권,1995-05-02,1999-11-24
001171,장은증권(1신),1996-08-27,1997-03-28
001190,대유,2000-03-27,2007-07-27
001190,대유통상,1995-05-02,2000-03-24
001190,마이크로닉스,2007-07-30,2009-04-24
001191,대유통상(1신),1995-05-02,1995-12-27
001192,대유통상(2신),1995-05-02,1995-12-27
