code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
012200,계양전기,1995-05-02,2026-06-22,7713,7846,KOSPI,32,32,5360,145914363440,active_like,atlas/symbol_profiles/012/012200.json
012205,계양전기우,1995-05-02,2026-06-22,7201,7846,KOSPI,32,32,8130,9504612270,active_like,atlas/symbol_profiles/012/012205.json
012210,삼미금속,2023-05-16,2026-06-22,616,754,KONEX|KOSDAQ,4,4,8500,188632102000,active_like,atlas/symbol_profiles/012/012210.json
012280,영화금속,1995-05-02,2026-06-22,7735,7846,KOSPI,32,32,700,34667153500,active_like,atlas/symbol_profiles/012/012280.json
012320,경동인베스트,1996-07-31,2026-06-22,7289,7503,KOSDAQ|KOSPI,31,31,56700,134096804100,active_like,atlas/symbol_profiles/012/012320.json
012330,현대모비스,1995-05-02,2026-06-22,7834,7846,KOSPI,32,32,569000,51626839727000,active_like,atlas/symbol_profiles/012/012330.json
012340,뉴인텍,1997-02-14,2026-06-22,6916,7324,KOSDAQ,30,30,986,11142107632,active_like,atlas/symbol_profiles/012/012340.json
012450,한화에어로스페이스,1995-05-02,2026-06-22,7811,7846,KOSPI,32,32,1125000,58008826125000,active_like,atlas/symbol_profiles/012/012450.json
012510,더존비즈온,1995-05-02,2026-06-22,7823,7846,KOSPI,32,32,119500,3480304018500,active_like,atlas/symbol_profiles/012/012510.json
012610,경인양행,1995-10-09,2026-06-22,7658,7720,KOSPI,32,32,3820,158974514300,active_like,atlas/symbol_profiles/012/012610.json
012620,원일특강,1996-07-29,2026-06-22,6852,7503,KOSDAQ,31,31,6670,29348000000,active_like,atlas/symbol_profiles/012/012620.json
012630,HDC,1996-07-01,2026-06-22,7473,7503,KOSDAQ|KOSPI,31,31,20250,1209769850250,active_like,atlas/symbol_profiles/012/012630.json
012690,모나리자,1995-05-02,2026-06-22,7800,7846,KOSPI,32,32,1616,59099148080,active_like,atlas/symbol_profiles/012/012690.json
012700,리드코프,1996-07-27,2026-06-22,6543,7503,KOSDAQ,31,31,2845,74524353940,active_like,atlas/symbol_profiles/012/012700.json
012750,에스원,1996-01-30,2026-06-22,7624,7626,KOSPI,31,31,69500,2640942871000,active_like,atlas/symbol_profiles/012/012750.json
012790,신일제약,1999-08-13,2026-06-22,6616,6619,KOSDAQ,28,28,5120,61370444800,active_like,atlas/symbol_profiles/012/012790.json
012800,대창,1995-05-02,2026-06-22,7836,7846,KOSPI,32,32,1217,110917987283,active_like,atlas/symbol_profiles/012/012800.json
012860,모베이스전자,1996-07-01,2026-06-22,6993,7503,KOSDAQ,31,31,2800,205053679600,active_like,atlas/symbol_profiles/012/012860.json
013000,세우글로벌,1995-05-02,2026-06-22,7676,7846,KOSPI,32,32,1310,37603590610,active_like,atlas/symbol_profiles/013/013000.json
013030,하이록코리아,1997-05-20,2026-06-22,6716,7503,KOSDAQ,30,31,33250,391290788000,active_like,atlas/symbol_profiles/013/013030.json
013120,동원개발,1996-07-01,2026-06-22,6646,7503,KOSDAQ,30,31,2210,200685901000,active_like,atlas/symbol_profiles/013/013120.json
013310,아진산업,1997-09-30,2026-06-22,2818,3290,KOSDAQ,15,16,2865,111180857430,active_like,atlas/symbol_profiles/013/013310.json
013360,일성건설,1995-05-02,2026-06-22,7790,7846,KOSPI,32,32,1356,73257737280,active_like,atlas/symbol_profiles/013/013360.json
013520,화승코퍼레이션,1995-05-02,2026-06-22,7818,7846,KOSPI,32,32,2500,125128130000,active_like,atlas/symbol_profiles/013/013520.json
013570,디와이,1995-05-02,2026-06-22,7807,7846,KOSPI,32,32,3930,103436157690,active_like,atlas/symbol_profiles/013/013570.json
013580,계룡건설,1996-01-30,2026-06-22,7623,7626,KOSPI,31,31,19590,174956468130,active_like,atlas/symbol_profiles/013/013580.json
013700,까뮤이앤씨,1995-05-02,2026-06-22,7811,7846,KOSPI,32,32,1148,68593952840,active_like,atlas/symbol_profiles/013/013700.json
013720,THE CUBE&,1996-07-03,2026-06-22,6763,7503,KOSDAQ,31,31,600,36496885800,active_like,atlas/symbol_profiles/013/013720.json
013810,스페코,1997-11-03,2026-06-22,6812,7110,KOSDAQ,30,30,1758,25764316260,active_like,atlas/symbol_profiles/013/013810.json
013870,지엠비코리아,2012-11-20,2026-06-22,3333,3333,KOSPI,15,15,3800,72474664000,active_like,atlas/symbol_profiles/013/013870.json
013890,지누스,1995-05-02,2026-06-22,3986,4271,KOSPI,19,19,9650,211584095450,active_like,atlas/symbol_profiles/013/013890.json
013990,아가방컴퍼니,2002-01-17,2026-06-22,5999,6025,KOSDAQ,25,25,3605,118559567280,active_like,atlas/symbol_profiles/013/013990.json
014100,메디앙스,1996-07-08,2026-06-22,6257,7503,KOSDAQ,31,31,1684,19871200000,active_like,atlas/symbol_profiles/014/014100.json
014130,한익스프레스,1995-05-02,2026-06-22,7835,7846,KOSPI,32,32,2110,25320000000,active_like,atlas/symbol_profiles/014/014130.json
014160,대영포장,1995-05-02,2026-06-22,7773,7846,KOSPI,32,32,760,82379857240,active_like,atlas/symbol_profiles/014/014160.json
014190,원익큐브,1996-07-19,2026-06-22,6868,7503,KOSDAQ,31,31,1281,45341085951,active_like,atlas/symbol_profiles/014/014190.json
014280,금강공업,1995-05-02,2026-06-22,7821,7846,KOSPI,32,32,4120,120836950840,active_like,atlas/symbol_profiles/014/014280.json
