code,name,date,prev_trading_date,prev_close,close,prev_stocks,stocks,price_ratio,stocks_ratio,market,reason
002460,화성산업,1996-01-03,1995-12-27,28200,27000,4400000,6000000,0.9574468085106383,1.3636363636363635,KOSPI,stocks_change_ge_20pct
002470,동성,1996-01-03,1995-12-27,6800,6680,8609407,12159407,0.9823529411764705,1.4123396652057454,KOSPI,stocks_change_ge_20pct
002471,동성(1신),1996-02-10,1995-12-27,6660,5640,3550000,6000000,0.8468468468468469,1.6901408450704225,KOSPI,stocks_change_ge_20pct
002530,벽산건설,1996-01-03,1995-12-27,11500,10900,7000000,9430000,0.9478260869565217,1.3471428571428572,KOSPI,stocks_change_ge_20pct
002630,오리엔트시계,1996-03-29,1996-03-28,39000,38900,600000,800000,0.9974358974358974,1.3333333333333333,KOSPI,stocks_change_ge_20pct
002850,영풍산업,1996-01-03,1995-12-27,27500,27500,3922019,6168911,1,1.5728916662565888,KOSPI,stocks_change_ge_20pct
002855,영풍산업(1우),1996-10-22,1996-10-21,21300,20100,359425,525905,0.9436619718309859,1.4631842526257217,KOSPI,stocks_change_ge_20pct
002950,두산건설,1996-01-03,1995-12-27,17400,17500,9039868,11039868,1.0057471264367817,1.2212421685803376,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
002951,두산건설(1신),1996-12-06,1995-12-27,16200,7250,2000000,2000000,0.44753086419753085,1,KOSPI,price_ratio_le_0.6
003090,대웅제약,1996-03-29,1996-03-28,33500,31800,1381653,1973790,0.9492537313432836,1.4285714285714286,KOSPI,stocks_change_ge_20pct
003290,삼미기업,1996-01-03,1995-12-27,17400,15900,1619361,2419361,0.9137931034482759,1.4940220247369178,KOSPI,stocks_change_ge_20pct
003291,삼미기업(1신),1996-03-16,1995-12-27,16700,20000,800000,1200000,1.1976047904191616,1.5,KOSPI,stocks_change_ge_20pct
003380,제일사료,1996-11-04,1996-08-22,18700,44000,153500,153500,2.3529411764705883,1,KOSDAQ,price_ratio_ge_1.8
