name,code,current_or_latest_name,first_date,last_date,markets,profile_path
경    방,000050,경방,1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000050.json
경방,000050,경방,1995-05-02,2026-02-20,KOSPI,atlas/symbol_profiles/000/000050.json
엔에이치스팩32호,000054,엔에이치스팩32호,2025-12-05,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000054.json
동양화재,000060,메리츠화재,1995-05-02,2005-10-21,KOSPI,atlas/symbol_profiles/000/000060.json
메리츠화재,000060,메리츠화재,2005-10-24,2023-02-20,KOSPI,atlas/symbol_profiles/000/000060.json
비엔케이제3호스팩,000068,비엔케이제3호스팩,2025-11-21,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000068.json
삼 양 사,000070,삼양홀딩스,1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000070.json
삼양사,000070,삼양홀딩스,1995-05-02,2011-12-02,KOSPI,atlas/symbol_profiles/000/000070.json
삼양홀딩스,000070,삼양홀딩스,2011-12-05,2026-02-20,KOSPI,atlas/symbol_profiles/000/000070.json
삼성스팩11호,000071,삼성스팩11호,2025-09-30,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000071.json
삼양사(1신),000071,삼성스팩11호,1995-12-12,1996-06-27,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000071.json
KB제33호스팩,000072,KB제33호스팩,2025-09-30,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000072.json
삼 양 사(1우),000075,삼양홀딩스우,1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000075.json
삼양사(1우 ),000075,삼양홀딩스우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000075.json
삼양사(1우),000075,삼양홀딩스우,1995-05-02,2006-12-19,KOSPI,atlas/symbol_profiles/000/000075.json
삼양사(1우B),000075,삼양홀딩스우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000075.json
삼양사우,000075,삼양홀딩스우,2008-08-04,2011-12-02,KOSPI,atlas/symbol_profiles/000/000075.json
삼양홀딩스우,000075,삼양홀딩스우,2011-12-05,2025-08-19,KOSPI,atlas/symbol_profiles/000/000075.json
삼양사(1우1신),000076,삼양사(1우1신),1996-06-22,1996-06-27,KOSPI,atlas/symbol_profiles/000/000076.json
삼양사(우선1신),000076,삼양사(1우1신),1996-01-03,1996-06-21,KOSPI,atlas/symbol_profiles/000/000076.json
삼양사(우선신),000076,삼양사(1우1신),1995-12-12,1995-12-27,KOSPI,atlas/symbol_profiles/000/000076.json
진    로,000080,하이트진로,1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000080.json
진로,000080,하이트진로,1995-05-02,2011-09-23,KOSPI,atlas/symbol_profiles/000/000080.json
하이트진로,000080,하이트진로,2011-09-26,2026-02-20,KOSPI,atlas/symbol_profiles/000/000080.json
진로(1신),000081,진로(1신),1996-02-06,1996-09-24,KOSPI,atlas/symbol_profiles/000/000081.json
진    로(1우),000085,진로(1우),1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000085.json
진로(1우 ),000085,진로(1우),2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000085.json
진로(1우),000085,진로(1우),1995-05-02,2003-01-09,KOSPI,atlas/symbol_profiles/000/000085.json
진로(1우1신),000086,진로(1우1신),1996-06-22,1996-09-24,KOSPI,atlas/symbol_profiles/000/000086.json
진로(우선1신),000086,진로(1우1신),1996-02-06,1996-06-21,KOSPI,atlas/symbol_profiles/000/000086.json
하이트진로2우B,000087,하이트진로2우B,2011-09-26,2026-02-20,KOSPI,atlas/symbol_profiles/000/000087.json
메리츠제1호스팩,000088,메리츠제1호스팩,2025-12-15,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000088.json
한화3우B,000088,메리츠제1호스팩,2016-10-19,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000088.json
두산상사,000090,두산상사,1995-05-02,1998-10-08,KOSPI,atlas/symbol_profiles/000/000090.json
두산상사(1신),000091,신영스팩11호,1995-05-02,1995-12-27,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000091.json
신영스팩11호,000091,신영스팩11호,2025-11-24,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000091.json
유 니 온(1신),000091,신영스팩11호,1996-11-25,1996-11-30,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000091.json
유니온(1신),000091,신영스팩11호,1996-07-03,1996-11-22,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000091.json
유 니 온(2신),000092,유 니 온(2신),1996-11-25,1996-11-30,KOSPI,atlas/symbol_profiles/000/000092.json
유니온(2신),000092,유 니 온(2신),1996-07-03,1996-11-22,KOSPI,atlas/symbol_profiles/000/000092.json
미래에셋비전기업스팩8호,000093,미래에셋비전스팩8호,2025-11-27,2025-11-27,KOSDAQ,atlas/symbol_profiles/000/000093.json
미래에셋비전스팩8호,000093,미래에셋비전스팩8호,2025-11-28,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000093.json
미래에셋비전스팩9호,000096,미래에셋비전스팩9호,2025-12-01,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000096.json
삼성스팩12호,000096,미래에셋비전스팩9호,2025-11-28,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000096.json
미래에셋비전스팩10호,000097,미래에셋비전스팩10호,2025-12-23,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000097.json
교보19호스팩,000098,교보19호스팩,2025-12-12,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000098.json
IBKS제25호스팩,000099,IBKS제25호스팩,2025-12-19,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000099.json
미래에셋비전스팩11호,000099,IBKS제25호스팩,2025-12-22,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000099.json
유한양행,000100,유한양행,1995-05-02,2026-02-20,KOSPI,atlas/symbol_profiles/000/000100.json
유한양행(1신),000101,하나36호스팩,1996-02-02,1996-12-27,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000101.json
하나36호스팩,000101,하나36호스팩,2025-12-22,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000101.json
유한양행(2신),000102,유한양행(2신),1996-04-30,1996-12-27,KOSPI,atlas/symbol_profiles/000/000102.json
CJ4우(전환),000104,CJ4우(전환),2019-08-09,2026-02-20,KOSPI,atlas/symbol_profiles/000/000104.json
유진스팩12호,000105,유진스팩12호,2025-12-11,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000105.json
유한양행(1우 ),000105,유진스팩12호,2001-06-28,2001-07-04,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000105.json
유한양행(1우),000105,유진스팩12호,1995-05-02,2006-12-19,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000105.json
유한양행(1우B),000105,유진스팩12호,2006-12-20,2008-08-01,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000105.json
유한양행우,000105,유진스팩12호,2008-08-04,2026-02-20,KOSDAQ|KOSPI,atlas/symbol_profiles/000/000105.json
유한양행(1우1신),000106,유한양행(1우1신),1996-06-22,1996-12-27,KOSPI,atlas/symbol_profiles/000/000106.json
유한양행(우선1신),000106,유한양행(1우1신),1996-04-30,1996-06-21,KOSPI,atlas/symbol_profiles/000/000106.json
유한양행(2우B),000107,유한양행(2우B),1999-01-29,2004-01-07,KOSPI,atlas/symbol_profiles/000/000107.json
제일은행,000110,제일은행,1995-05-02,2005-04-21,KOSPI,atlas/symbol_profiles/000/000110.json
삼성스팩13호,000115,삼성스팩13호,2026-01-21,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000115.json
CJ대한통운,000120,삼양바이오팜,2012-04-27,2026-02-20,KOSPI,atlas/symbol_profiles/000/000120.json
대한통운,000120,삼양바이오팜,1995-05-02,2012-04-26,KOSPI,atlas/symbol_profiles/000/000120.json
삼양바이오팜,000120,삼양바이오팜,2025-11-24,2026-02-20,KOSPI,atlas/symbol_profiles/000/000120.json
대한통운(1신),000121,대한통운(1신),1995-05-02,1995-12-27,KOSPI,atlas/symbol_profiles/000/000121.json
삼성에피스홀딩스,000126,삼성에피스홀딩스,2025-11-24,2026-02-20,KOSPI,atlas/symbol_profiles/000/000126.json
한일은행,000130,한일은행,1995-05-02,1999-01-08,KOSPI,atlas/symbol_profiles/000/000130.json
조선맥주,000140,하이트진로홀딩스,1995-05-02,1998-06-29,KOSPI,atlas/symbol_profiles/000/000140.json
하이트맥주,000140,하이트진로홀딩스,1998-06-30,2008-07-29,KOSPI,atlas/symbol_profiles/000/000140.json
하이트진로홀딩스,000140,하이트진로홀딩스,2012-04-10,2026-02-20,KOSPI,atlas/symbol_profiles/000/000140.json
하이트홀딩스,000140,하이트진로홀딩스,2008-07-30,2012-04-09,KOSPI,atlas/symbol_profiles/000/000140.json
조선맥주(1신),000141,조선맥주(1신),1995-08-08,1995-12-27,KOSPI,atlas/symbol_profiles/000/000141.json
조선맥주(1우),000145,하이트진로홀딩스우,1995-05-02,1998-06-29,KOSPI,atlas/symbol_profiles/000/000145.json
하이트맥주(1우 ),000145,하이트진로홀딩스우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000145.json
하이트맥주(1우),000145,하이트진로홀딩스우,1998-06-30,2006-12-19,KOSPI,atlas/symbol_profiles/000/000145.json
하이트맥주(1우B),000145,하이트진로홀딩스우,2006-12-20,2008-07-29,KOSPI,atlas/symbol_profiles/000/000145.json
하이트진로홀딩스우,000145,하이트진로홀딩스우,2012-04-10,2026-02-20,KOSPI,atlas/symbol_profiles/000/000145.json
하이트홀딩스(1우B),000145,하이트진로홀딩스우,2008-07-30,2008-08-01,KOSPI,atlas/symbol_profiles/000/000145.json
하이트홀딩스우,000145,하이트진로홀딩스우,2008-08-04,2012-04-09,KOSPI,atlas/symbol_profiles/000/000145.json
조선맥주(우선신),000146,조선맥주(우선신),1995-08-08,1995-12-27,KOSPI,atlas/symbol_profiles/000/000146.json
하이트맥주(2우B),000147,하이트맥주(2우B),1998-08-17,2001-07-23,KOSPI,atlas/symbol_profiles/000/000147.json
하이트맥주(3우B),000149,하이트맥주(3우B),2000-01-11,2002-05-20,KOSPI,atlas/symbol_profiles/000/000149.json
동양맥주,000150,두산,1995-05-02,1996-04-18,KOSPI,atlas/symbol_profiles/000/000150.json
두산,000150,두산,1998-09-15,2026-02-20,KOSPI,atlas/symbol_profiles/000/000150.json
오비맥주,000150,두산,1996-04-19,1998-09-14,KOSPI,atlas/symbol_profiles/000/000150.json
동양맥주(1우),000155,두산우,1995-05-02,1996-04-18,KOSPI,atlas/symbol_profiles/000/000155.json
두산(1우 ),000155,두산우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000155.json
두산(1우),000155,두산우,1998-09-15,2006-12-19,KOSPI,atlas/symbol_profiles/000/000155.json
두산(1우B),000155,두산우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000155.json
두산우,000155,두산우,2008-08-04,2026-02-20,KOSPI,atlas/symbol_profiles/000/000155.json
오비맥주(1우),000155,두산우,1996-04-19,1998-09-14,KOSPI,atlas/symbol_profiles/000/000155.json
두산(2우B),000157,두산2우B,1999-12-03,2008-08-01,KOSPI,atlas/symbol_profiles/000/000157.json
두산2우B,000157,두산2우B,2008-08-04,2026-02-20,KOSPI,atlas/symbol_profiles/000/000157.json
대한중석,000160,대한중석,1995-05-02,1999-10-26,KOSPI,atlas/symbol_profiles/000/000160.json
대한중석(1신),000161,대한중석(1신),1995-05-08,1997-12-27,KOSPI,atlas/symbol_profiles/000/000161.json
대한중석(2신),000162,대한중석(2신),1995-06-10,1995-12-27,KOSPI,atlas/symbol_profiles/000/000162.json
LG금속,000170,LG금속,1997-05-19,1999-04-07,KOSPI,atlas/symbol_profiles/000/000170.json
엘지금속,000170,LG금속,1995-05-02,1997-05-17,KOSPI,atlas/symbol_profiles/000/000170.json
성창기업,000180,성창기업지주,1995-05-02,2009-01-20,KOSPI,atlas/symbol_profiles/000/000180.json
성창기업지주,000180,성창기업지주,2009-01-21,2026-02-20,KOSPI,atlas/symbol_profiles/000/000180.json
대우중공업,000200,대우중공업,1995-05-02,2001-05-22,KOSPI,atlas/symbol_profiles/000/000200.json
대우중공업(1우),000205,대우중공업(1우),1995-05-02,2001-05-22,KOSPI,atlas/symbol_profiles/000/000205.json
DL,000210,DL,2021-01-25,2026-02-20,KOSPI,atlas/symbol_profiles/000/000210.json
대림산업,000210,DL,1995-05-02,2021-01-22,KOSPI,atlas/symbol_profiles/000/000210.json
대림산업(1신),000211,대림산업(1신),1995-08-08,1995-12-27,KOSPI,atlas/symbol_profiles/000/000211.json
DL우,000215,DL우,2021-01-25,2026-02-20,KOSPI,atlas/symbol_profiles/000/000215.json
대림산업(1우 ),000215,DL우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000215.json
대림산업(1우),000215,DL우,1995-05-02,2006-12-19,KOSPI,atlas/symbol_profiles/000/000215.json
대림산업(1우B),000215,DL우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000215.json
대림산업우,000215,DL우,2008-08-04,2021-01-22,KOSPI,atlas/symbol_profiles/000/000215.json
유유,000220,유유제약,2002-06-20,2008-06-24,KOSPI,atlas/symbol_profiles/000/000220.json
유유산업,000220,유유제약,1995-05-02,2002-06-19,KOSPI,atlas/symbol_profiles/000/000220.json
유유제약,000220,유유제약,2008-06-25,2026-02-20,KOSPI,atlas/symbol_profiles/000/000220.json
유유(1우),000225,유유제약1우,2002-06-20,2006-12-19,KOSPI,atlas/symbol_profiles/000/000225.json
유유(1우B),000225,유유제약1우,2006-12-20,2008-06-24,KOSPI,atlas/symbol_profiles/000/000225.json
유유산업(1우 ),000225,유유제약1우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000225.json
유유산업(1우),000225,유유제약1우,1995-05-02,2002-06-19,KOSPI,atlas/symbol_profiles/000/000225.json
유유제약(1우B),000225,유유제약1우,2008-06-25,2008-08-01,KOSPI,atlas/symbol_profiles/000/000225.json
유유제약1우,000225,유유제약1우,2008-08-04,2026-02-20,KOSPI,atlas/symbol_profiles/000/000225.json
유유(2우B),000227,유유제약2우B,2002-06-20,2008-06-24,KOSPI,atlas/symbol_profiles/000/000227.json
유유산업(2우B),000227,유유제약2우B,2000-06-20,2002-06-19,KOSPI,atlas/symbol_profiles/000/000227.json
유유제약(2우B),000227,유유제약2우B,2008-06-25,2008-08-01,KOSPI,atlas/symbol_profiles/000/000227.json
유유제약2우B,000227,유유제약2우B,2008-08-04,2026-02-20,KOSPI,atlas/symbol_profiles/000/000227.json
일동제약,000230,일동홀딩스,1995-05-02,2016-08-30,KOSPI,atlas/symbol_profiles/000/000230.json
일동홀딩스,000230,일동홀딩스,2016-08-31,2026-02-20,KOSPI,atlas/symbol_profiles/000/000230.json
일동제약(1신),000231,일동제약(1신),1996-09-11,1997-03-28,KOSPI,atlas/symbol_profiles/000/000231.json
한국앤컴퍼니,000240,한국앤컴퍼니,2021-01-18,2026-02-20,KOSPI,atlas/symbol_profiles/000/000240.json
한국타이어,000240,한국앤컴퍼니,1995-05-02,2012-10-02,KOSPI,atlas/symbol_profiles/000/000240.json
한국타이어월드와이드,000240,한국앤컴퍼니,2012-10-04,2019-05-21,KOSPI,atlas/symbol_profiles/000/000240.json
한국테크놀로지그룹,000240,한국앤컴퍼니,2019-05-22,2021-01-15,KOSPI,atlas/symbol_profiles/000/000240.json
한국타이어(1신),000241,한국타이어(1신),1996-02-10,1996-12-27,KOSPI,atlas/symbol_profiles/000/000241.json
한국타이어(2신),000242,한국타이어(2신),1996-04-06,1996-12-27,KOSPI,atlas/symbol_profiles/000/000242.json
삼천당제약,000250,삼천당제약,2000-10-04,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000250.json
기 아 차,000270,기아,1996-11-25,2000-04-18,KOSPI,atlas/symbol_profiles/000/000270.json
기아,000270,기아,2021-04-05,2026-02-20,KOSPI,atlas/symbol_profiles/000/000270.json
기아자동차,000270,기아,1995-05-02,1996-11-22,KOSPI,atlas/symbol_profiles/000/000270.json
기아차,000270,기아,2000-04-19,2021-04-02,KOSPI,atlas/symbol_profiles/000/000270.json
아모레G3우(전환),000279,아모레퍼시픽홀딩스3우C,2019-12-26,2025-04-24,KOSPI,atlas/symbol_profiles/000/000279.json
아모레퍼시픽홀딩스3우C,000279,아모레퍼시픽홀딩스3우C,2025-04-25,2026-02-20,KOSPI,atlas/symbol_profiles/000/000279.json
동아건설,000280,동아건설,1995-05-02,2001-06-05,KOSPI,atlas/symbol_profiles/000/000280.json
동아건설(1신),000281,동아건설(1신),1996-03-25,1996-12-27,KOSPI,atlas/symbol_profiles/000/000281.json
동아건설(2신),000282,동아건설(2신),1996-09-09,1996-12-27,KOSPI,atlas/symbol_profiles/000/000282.json
DH오토넥스,000300,DH오토넥스,2025-02-28,2026-02-20,KOSPI,atlas/symbol_profiles/000/000300.json
대유신소재,000300,DH오토넥스,2008-07-15,2016-10-13,KOSPI,atlas/symbol_profiles/000/000300.json
대유엠텍,000300,DH오토넥스,2006-03-21,2006-07-06,KOSPI,atlas/symbol_profiles/000/000300.json
대유플러스,000300,DH오토넥스,2016-10-14,2025-02-27,KOSPI,atlas/symbol_profiles/000/000300.json
두레에어,000300,DH오토넥스,1997-10-23,2005-04-14,KOSPI,atlas/symbol_profiles/000/000300.json
삼선공업,000300,DH오토넥스,1995-05-02,1997-10-22,KOSPI,atlas/symbol_profiles/000/000300.json
성용HM,000300,DH오토넥스,2005-04-15,2006-03-20,KOSPI,atlas/symbol_profiles/000/000300.json
엠앤에스,000300,DH오토넥스,2006-07-07,2008-07-14,KOSPI,atlas/symbol_profiles/000/000300.json
두레에어(1신),000301,두레에어(1신),1997-10-23,1998-03-28,KOSPI,atlas/symbol_profiles/000/000301.json
삼선공업(1신),000301,두레에어(1신),1996-12-13,1997-03-28,KOSPI,atlas/symbol_profiles/000/000301.json
삼선공업(1우),000305,삼선공업(1우),1995-05-02,1997-10-22,KOSPI,atlas/symbol_profiles/000/000305.json
삼선공업(1우1신),000306,삼선공업(1우1신),1996-12-13,1997-03-28,KOSPI,atlas/symbol_profiles/000/000306.json
해태제과,000310,해태제과,1995-05-02,2001-11-09,KOSPI,atlas/symbol_profiles/000/000310.json
해태제과(1신),000311,해태제과(1신),1995-05-02,1995-06-28,KOSPI,atlas/symbol_profiles/000/000311.json
해태제과(1우 ),000315,해태제과(1우),2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000315.json
해태제과(1우),000315,해태제과(1우),1995-05-02,2001-11-09,KOSPI,atlas/symbol_profiles/000/000315.json
해태제과(2우B),000317,해태제과(2우B),2000-01-11,2001-11-09,KOSPI,atlas/symbol_profiles/000/000317.json
노루홀딩스,000320,노루홀딩스,2010-04-13,2026-02-20,KOSPI,atlas/symbol_profiles/000/000320.json
대한페인트,000320,노루홀딩스,1995-05-02,2000-11-13,KOSPI,atlas/symbol_profiles/000/000320.json
디피아이,000320,노루홀딩스,2000-11-14,2006-06-22,KOSPI,atlas/symbol_profiles/000/000320.json
디피아이홀딩스,000320,노루홀딩스,2006-06-23,2010-04-12,KOSPI,atlas/symbol_profiles/000/000320.json
대한페인트(1신),000321,대한페인트(1신),1995-07-05,1995-12-27,KOSPI,atlas/symbol_profiles/000/000321.json
노루홀딩스우,000325,노루홀딩스우,2010-04-13,2026-02-20,KOSPI,atlas/symbol_profiles/000/000325.json
대한페인트(1우),000325,노루홀딩스우,1995-05-02,2000-11-13,KOSPI,atlas/symbol_profiles/000/000325.json
디피아이(1우 ),000325,노루홀딩스우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000325.json
디피아이(1우),000325,노루홀딩스우,2000-11-14,2006-06-22,KOSPI,atlas/symbol_profiles/000/000325.json
디피아이홀딩스(1우),000325,노루홀딩스우,2006-06-23,2006-12-19,KOSPI,atlas/symbol_profiles/000/000325.json
디피아이홀딩스(1우B),000325,노루홀딩스우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000325.json
디피아이홀딩스우,000325,노루홀딩스우,2008-08-04,2010-04-12,KOSPI,atlas/symbol_profiles/000/000325.json
노루홀딩스2우B,000327,노루홀딩스2우B,2010-04-13,2017-09-27,KOSPI,atlas/symbol_profiles/000/000327.json
디피아이홀딩스(2우B),000327,노루홀딩스2우B,2007-09-28,2008-08-01,KOSPI,atlas/symbol_profiles/000/000327.json
디피아이홀딩스2B,000327,노루홀딩스2우B,2008-08-04,2010-04-12,KOSPI,atlas/symbol_profiles/000/000327.json
두산백화,000330,두산백화,1996-04-17,1998-10-08,KOSPI,atlas/symbol_profiles/000/000330.json
백화,000330,두산백화,1995-05-02,1996-04-16,KOSPI,atlas/symbol_profiles/000/000330.json
두산백화(1신),000331,두산백화(1신),1996-06-18,1996-12-27,KOSPI,atlas/symbol_profiles/000/000331.json
쌍용양회(4우B),000341,쌍용양회5우B,2000-05-29,2008-08-01,KOSPI,atlas/symbol_profiles/000/000341.json
쌍용양회(5우B),000341,쌍용양회5우B,2000-11-15,2008-08-01,KOSPI,atlas/symbol_profiles/000/000341.json
쌍용양회4우B,000341,쌍용양회5우B,2008-08-04,2014-01-10,KOSPI,atlas/symbol_profiles/000/000341.json
쌍용양회5우B,000341,쌍용양회5우B,2008-08-04,2014-01-10,KOSPI,atlas/symbol_profiles/000/000341.json
삼환기업,000360,삼환기업,1995-05-02,2015-04-14,KOSPI,atlas/symbol_profiles/000/000360.json
삼환기업(1우 ),000365,삼환기업우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000365.json
삼환기업(1우),000365,삼환기업우,1995-05-02,2006-12-19,KOSPI,atlas/symbol_profiles/000/000365.json
삼환기업(1우B),000365,삼환기업우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000365.json
삼환기업우,000365,삼환기업우,2008-08-04,2015-04-14,KOSPI,atlas/symbol_profiles/000/000365.json
신동아화재,000370,한화손해보험,1995-05-02,2007-01-15,KOSPI,atlas/symbol_profiles/000/000370.json
한화손해보험,000370,한화손해보험,2007-01-16,2026-02-20,KOSPI,atlas/symbol_profiles/000/000370.json
대아건설,000380,대아건설,1996-07-01,2004-10-20,KOSDAQ,atlas/symbol_profiles/000/000380.json
삼화페인트,000390,삼화페인트,1995-05-02,2026-02-20,KOSPI,atlas/symbol_profiles/000/000390.json
대한화재,000400,롯데손해보험,1995-05-02,2008-03-19,KOSPI,atlas/symbol_profiles/000/000400.json
롯데손해보험,000400,롯데손해보험,2008-03-20,2026-02-20,KOSPI,atlas/symbol_profiles/000/000400.json
로케트전기,000420,로케트전기,1995-05-02,2015-02-23,KOSPI,atlas/symbol_profiles/000/000420.json
로케트전기(1우 ),000425,로케트전우,2001-06-28,2001-07-04,KOSPI,atlas/symbol_profiles/000/000425.json
로케트전기(1우),000425,로케트전우,1995-05-02,2006-12-19,KOSPI,atlas/symbol_profiles/000/000425.json
로케트전기(1우B),000425,로케트전우,2006-12-20,2008-08-01,KOSPI,atlas/symbol_profiles/000/000425.json
로케트전우,000425,로케트전우,2008-08-04,2015-02-23,KOSPI,atlas/symbol_profiles/000/000425.json
대원강업,000430,대원강업,1995-05-02,2026-02-20,KOSPI,atlas/symbol_profiles/000/000430.json
대원강업(1신),000431,대원강업(1신),1995-12-13,1995-12-27,KOSPI,atlas/symbol_profiles/000/000431.json
중앙석유,000440,중앙에너비스,1997-01-03,2003-12-19,KOSDAQ,atlas/symbol_profiles/000/000440.json
중앙에너비스,000440,중앙에너비스,1996-07-01,2026-02-20,KOSDAQ,atlas/symbol_profiles/000/000440.json
한주통산,000450,한주통산,1995-05-02,1998-11-17,KOSPI,atlas/symbol_profiles/000/000450.json
